id,event,Mw,PGA,GWT,y,profile,crit_FS,crit_depth,qc1Ncs_crit,Ic_crit,sev_crit,n_liq_layers,LPI,crit_FS_capped,log_LPI
BAL-10,Northridge,6.69,0.84,7.2,1,measured,0.2369872249675221,10.610000000000001,92.45071371263671,2.4588473432795106,148.55265929020965,166,4.156665274910947,0.2369872249675221,1.6402901060223773
BAL-11,Northridge,6.69,0.84,7.6,1,measured,0.2128695113265959,10.16,76.36129266971625,2.592554947063902,145.55926327025384,84,1.0849500556054494,0.2128695113265959,0.7347449008177922
M-27,Northridge,6.69,0.8,3.4,1,measured,0.18542459571208317,10.77,84.71996207229469,1.7988157448824065,129.51549587795273,1066,19.614573783055164,0.18542459571208317,3.0259982908568537
DMC,Hyogoken-Nambu,6.9,0.37,2.0,1,measured,0.2939872942247061,8.94,73.36246430355268,2.594402779237236,77.39118695196368,587,23.254454332243604,0.2939872942247061,3.188600284319548
FUP-1,Hyogoken-Nambu,6.9,0.65,3.1,0,measured,0.21125188281293023,10.26,80.37412086392557,2.1931195501530993,126.4861029894537,1294,17.763106080847486,0.21125188281293023,2.9318924992145385
HAH-1,Hyogoken-Nambu,6.9,0.5,2.0,1,measured,0.2360943508167686,9.620000000000001,77.52181441282825,2.556406074200792,94.87264183785572,617,29.436880532437385,0.2360943508167686,3.4156550485186545
HCP-1,Hyogoken-Nambu,6.9,0.7,2.5,0,measured,0.21455377779426113,12.2,96.0455640986933,2.542450626305433,136.3513015040171,1058,11.445353783172902,0.21455377779426113,2.521347363151365
IES-1,Hyogoken-Nambu,6.9,0.6,1.4,1,measured,0.16051417672411078,15.549999999999999,60.96880415948158,1.789749771967939,119.48570199513668,1018,28.135227413632286,0.16051417672411078,3.3719480060779534
KAI-1,Hyogoken-Nambu,6.9,0.5,3.0,0,measured,0.3347982203263613,5.090000000000001,85.31434699634276,1.5649563258172772,80.49940734067937,202,1.3216694115423715,0.3347982203263613,0.8422865008496961
KMO-A,Hyogoken-Nambu,6.9,0.6,1.8,1,measured,0.1748249361709446,14.62,64.68004580529845,2.5996217577674705,127.43809615619185,1813,58.15232647786885,0.1748249361709446,4.080115921483022
KMO-B,Hyogoken-Nambu,6.9,0.6,1.8,1,measured,0.19596766437062135,8.32,79.20957997858105,1.8228214251740777,80.08642522709742,1688,49.393858207142664,0.19596766437062135,3.9198693066822803
KOP-2,Hyogoken-Nambu,6.9,0.6,2.5,1,measured,0.17530212603553866,10.21,64.80903532244024,1.90542662413984,90.01325548116931,786,26.941042960740255,0.17530212603553866,3.3300966817198185
KPS-1,Hyogoken-Nambu,6.9,0.45,2.6,1,measured,0.27799566489574734,6.61,67.01708881685609,2.2661934245331303,83.28470476969584,1141,24.77571089827438,0.27799566489574734,3.249432610445058
MIP-1,Hyogoken-Nambu,6.9,0.65,2.0,1,measured,0.168372006456623,8.21,67.85690042531255,2.5922012765491123,81.00440247265294,930,35.415341345628555,0.168372006456623,3.594990151390288
NAP-1,Hyogoken-Nambu,6.9,0.65,1.0,0,measured,0.1785532546196969,5.09,79.69721834121174,2.5979167809952597,50.59061990411787,441,17.67528173346091,0.1785532546196969,2.9272008170341848
NKO-2,Hyogoken-Nambu,6.9,0.6,2.4,1,measured,0.1934831589084619,10.940000000000001,71.37452125974606,1.65869555617474,110.83770182152536,1328,37.98136161124417,0.1934831589084619,3.6630836244915104
NKO-3,Hyogoken-Nambu,6.9,0.6,2.4,1,measured,0.21379473348358013,9.14,81.33572755675942,2.568304237392599,97.50627672597047,886,26.897105092395385,0.21379473348358013,3.328522923314668
NPP-1,Hyogoken-Nambu,6.9,0.6,2.5,1,measured,0.16961383752243336,10.51,58.88663447929024,1.8345122168343357,96.14316711538297,906,28.667973136044324,0.16961383752243336,3.390068118388002
NWC-1,Hyogoken-Nambu,6.9,0.45,2.6,1,measured,0.2467264273541268,8.080000000000002,58.154315534084425,1.7488569497116295,93.30494647524044,992,18.45136502131885,0.2467264273541268,2.967917248646552
SES-1,Hyogoken-Nambu,6.9,0.6,1.9,0,measured,0.2642984300854315,7.39,102.92589550790919,2.5096265019188224,84.38594928537512,612,7.316272313093183,0.2642984300854315,2.118214115141839
SHP-2,Hyogoken-Nambu,6.9,0.65,2.0,0,measured,0.16730987379092166,8.61,64.14054899227,1.8079883461106616,91.53018091476889,1126,23.6258277222571,0.16730987379092166,3.203795799579828
SKF-1,Hyogoken-Nambu,6.9,0.4,1.5,1,measured,0.2689086024675554,6.779999999999999,68.76606161041087,2.467339047306859,66.96926910562956,856,25.340891363264937,0.2689086024675554,3.271122536413203
TCF-1,Hyogoken-Nambu,6.9,0.5,2.0,1,measured,0.22396868249925145,6.57,64.83370579627527,2.285070054861965,70.47022943383496,413,16.013668375696927,0.22396868249925145,2.834017043103416
YKF-1,Hyogoken-Nambu,6.9,0.5,3.0,0,measured,0.2550157091026064,9.8,73.05382886901569,2.5979257079224487,116.36433560771304,436,8.753388826520762,0.2550157091026064,2.2776147965714655
AC2,Kocaeli,7.51,0.4,0.4,1,measured,0.19326008126702293,3.64,60.025886535543414,1.8150070524486253,25.78947264145711,669,37.12425339695322,0.19326008126702293,3.6408506517050903
AK1,Kocaeli,7.51,0.4,0.8,1,measured,0.2175537141529747,5.27,65.99740501550937,2.0875492238529176,41.385063813945216,565,19.87918766111094,0.2175537141529747,3.038752857138406
B1,Kocaeli,7.51,0.4,3.3,1,measured,0.3132799384348588,13.45,85.98415631008096,2.59364561860044,141.34439619961054,845,5.895957842718129,0.3132799384348588,1.9309354200477709
D1,Kocaeli,7.51,0.4,1.5,1,measured,0.26757941285902315,10.15,82.92180244269048,2.506730196724514,92.33273303981537,1063,19.331135401725092,0.26757941285902315,3.0121534746653897
DN-1,Kocaeli,7.51,0.4,1.7,1,measured,0.25710180793529014,15.71,67.91038925081997,1.7767657565525057,157.7793716903351,1693,25.880685552636436,0.25710180793529014,3.291408019520066
DN-2,Kocaeli,7.51,0.4,2.5,0,measured,0.30953108272143687,7.53,80.91761859299216,1.8179830732207334,84.75315925029619,950,15.630243993824383,0.30953108272143687,2.811222965004865
E1,Kocaeli,7.51,0.4,0.5,1,measured,0.19308917890879174,3.2800000000000002,56.52920745962551,1.8061573065936052,23.33635414622346,863,32.97239959533351,0.19308917890879174,3.525548418339269
F1,Kocaeli,7.51,0.4,0.5,1,measured,0.18108700976166167,2.0300000000000002,33.00949780924583,1.7879063492368061,16.61948533442153,1156,50.64087045739431,0.18108700976166167,3.9443134220988534
G1,Kocaeli,7.51,0.4,0.5,1,measured,0.19285433139507663,1.72,31.844426970844253,1.8107869094636206,15.63618047854617,1070,45.583708997011854,0.19285433139507663,3.8412508876711517
H1,Kocaeli,7.51,0.4,1.7,1,measured,0.23516232633037396,10.07,64.61545875486645,2.4142332348079427,91.73505770174704,350,15.70807729062487,0.23516232633037396,2.815892272589328
J2,Kocaeli,7.51,0.4,0.6,1,measured,0.2175164036579904,9.19,72.84393178497156,2.5894029740228954,70.22527427139909,914,36.36141728634055,0.2175164036579904,3.620638548570979
L1,Kocaeli,7.51,0.4,1.72,1,measured,0.2541119764321354,4.85,60.10690908856596,1.7696570642148808,46.569598239773335,526,22.29747714017754,0.2541119764321354,3.1483450774636514
PS-1,Kocaeli,7.51,0.4,1.0,1,measured,0.21289627094395822,9.96,64.93569805343489,2.356236687311679,78.41189100809129,281,12.763218809130677,0.21289627094395822,2.621999730231163
SF-5,Kocaeli,7.51,0.37,1.0,1,measured,0.2233276551255049,14.94,71.71994705414644,1.990207441805283,92.97930976208931,104,5.324282707739491,0.2233276551255049,1.8443966222916601
SH-4,Kocaeli,7.51,0.37,0.5,1,measured,0.2042736185916535,4.17,51.08175230779852,1.8050421822487541,32.40201144692706,1724,59.952117500941036,0.2042736185916535,4.110088596930713
YH-3,Kocaeli,7.51,0.37,1.0,1,measured,0.2443271634899439,6.8500000000000005,67.84348391229861,1.8124620608053195,57.29202360384993,990,35.45099098467905,0.2443271634899439,3.595968645593435
C,Chi-Chi,7.62,0.38,1.0,1,measured,0.23817321491001384,4.09,55.75262252349075,1.759503752392027,37.983194447734434,364,19.23851343537912,0.23817321491001384,3.007587394853291
C2,Chi-Chi,7.62,0.38,5.0,1,measured,0.335313521626034,10.549999999999999,71.84225635034775,2.541204947686137,127.64006629150502,977,19.26099542935907,0.335313521626034,3.0086976303558672
C3,Chi-Chi,7.62,0.38,1.5,1,measured,0.26409411605766114,19.46,72.98028282749927,2.5974903011189534,164.44915009559313,294,11.123499594827654,0.26409411605766114,2.495145684410051
C7,Chi-Chi,7.62,0.38,1.0,1,measured,0.18769388889766334,4.69,45.92486195990509,1.8348776476568585,31.637753028733428,1490,48.483110011512515,0.18769388889766334,3.901631399459987
C8,Chi-Chi,7.62,0.38,1.0,1,measured,0.2371819885990351,13.649999999999999,69.58892093434636,2.578741085412116,112.17281048231177,623,20.916904990948805,0.2371819885990351,3.087258256442374
C13,Chi-Chi,7.62,0.38,2.0,0,measured,0.25216645142235566,7.91,63.72832452942474,2.402762481603232,72.21611432718066,312,11.149167452276089,0.25216645142235566,2.497260644992375
C16,Chi-Chi,7.62,0.38,5.3,0,measured,0.3305532290378565,16.480000000000004,78.02193142254718,2.542726685079226,177.4758632921385,188,0.3939569489268873,0.3305532290378565,0.33214642873868927
K1,Chi-Chi,7.62,0.38,2.5,1,measured,0.2872031657274867,9.139999999999999,72.25058476277749,2.4380607592075547,96.22504145899438,609,20.718336483474957,0.2872031657274867,3.078156902974024
K5,Chi-Chi,7.62,0.38,2.5,1,measured,0.37714362491970066,6.94,95.59781830417062,1.7884533434162924,84.63785403193162,707,16.07644971075287,0.37714362491970066,2.837700304385949
MAA C7,Chi-Chi,7.62,0.6,3.2,1,measured,0.16539457914260372,12.5,56.02385908361217,1.8769352533004087,134.99394266005345,546,21.60555382983734,0.16539457914260372,3.1181956207710297
MAA C8,Chi-Chi,7.62,0.6,3.2,0,measured,0.17723250214722666,15.910000000000002,67.84928843110676,2.3761061260759013,160.64744956179572,1089,33.61125828637289,0.17723250214722666,3.544179013137002
MAA C10,Chi-Chi,7.62,0.6,1.4,1,measured,0.13502295504649037,8.030000000000001,53.777844536245595,1.781358421749871,65.48391317185325,764,37.68257777589199,0.13502295504649037,3.655389312001837
MAA C15,Chi-Chi,7.62,0.6,2.5,1,measured,0.17135780605668605,11.079999999999998,69.40903545867965,2.5554084554975263,108.61214477449687,698,16.792768842588945,0.17135780605668605,2.8787921299598924
WBC-1,Chi-Chi,7.62,0.6,1.1,1,measured,0.15231845900950364,4.85,63.8388385918468,1.743254852931916,40.64159453409928,590,32.16933641016784,0.15231845900950364,3.5016258470358363
WCC-6,Chi-Chi,7.62,0.6,1.2,1,measured,0.17936724399007703,4.89,75.35286827142434,2.58716366434751,48.253181157255156,842,35.27874461443415,0.17936724399007703,3.591232021959003
WK5,Chi-Chi,7.62,0.6,1.0,1,measured,0.16474056133674622,4.65,72.37592821057494,2.5993219854671223,40.602610548961316,597,32.50081190011823,0.16474056133674622,3.5115696743617626
YC2,Chi-Chi,7.62,0.25,0.56,1,measured,0.30550656881364946,3.0300000000000002,45.28653798308881,1.7924991934260468,24.44045024590307,907,25.91635801176254,0.30550656881364946,3.2927342063136473
YC4,Chi-Chi,7.62,0.25,0.7,1,measured,0.31965651452304905,2.23,45.53385564336402,1.9628408889265616,16.694904824072665,888,30.708438122822276,0.31965651452304905,3.456582832301623
YC5,Chi-Chi,7.62,0.25,2.4,0,measured,0.36151324936531926,13.89,57.46979228359822,1.8029446826253386,123.09935080052279,1208,23.01057086907712,0.36151324936531926,3.178494186255263
YC7,Chi-Chi,7.62,0.25,1.7,0,measured,0.3226826275544928,10.75,52.7390211866392,1.824313874770998,86.79271782137462,1213,26.780114226323725,0.3226826275544928,3.3243204491364526
YC8,Chi-Chi,7.62,0.25,1.3,0,measured,0.3385816874667952,12.48,63.542993519953825,2.5823849758297666,97.09698605289321,442,12.167143690476848,0.3385816874667952,2.577724612239158
YC9,Chi-Chi,7.62,0.25,1.2,0,measured,0.3324922812527542,10.82,58.25505828228012,1.8083011736717354,90.51486465333906,900,20.543353999454357,0.3324922812527542,3.07006736988773
YC10,Chi-Chi,7.62,0.25,1.9,0,measured,0.3586010569139712,18.75,57.17976303969685,1.8176685697469304,156.5824697403174,885,17.75843378236736,0.3586010569139712,2.931643453012207
YC11,Chi-Chi,7.62,0.25,2.9,0,measured,0.3841756953204909,15.91,64.52722933959589,2.579197042900859,134.43734318902278,431,10.426569699556017,0.3841756953204909,2.4359413189889416
YC13,Chi-Chi,7.62,0.25,1.1,0,measured,0.35555520283188574,18.61,59.8617205309859,1.7899186745933342,154.71457778209486,1339,32.39580700840467,0.35555520283188574,3.508430353431497
YC15,Chi-Chi,7.62,0.25,1.5,0,measured,0.3781679601074541,14.479999999999999,71.58697687460165,2.4478148846686847,120.96165418261617,1284,25.267356894428584,0.3781679601074541,3.2683269855571426
YC16,Chi-Chi,7.62,0.25,2.5,0,measured,0.37227809138100804,19.35,60.66764292066615,1.7244498410588658,157.3522947071024,670,14.857599341508779,0.37227809138100804,2.76364883914503
YC19,Chi-Chi,7.62,0.25,0.6,1,measured,0.3097020221900276,12.040000000000001,58.43771963646912,1.8077723535979593,90.69737109655432,1091,32.4442887416777,0.3097020221900276,3.509881031837365
YC22,Chi-Chi,7.62,0.25,1.1,1,measured,0.32224300722863025,6.03,54.96096482039614,1.828419902200468,47.48965588133897,1405,35.73198795317447,0.32224300722863025,3.6036479817858096
YC24,Chi-Chi,7.62,0.25,1.2,1,measured,0.3309255031016424,5.87,55.27246636767225,1.7771831641187017,47.37840677141241,1535,37.638701280128586,0.3309255031016424,3.6542543980167452
YC25,Chi-Chi,7.62,0.25,3.5,1,measured,0.47163187527238115,11.37,80.77928900154286,1.8339869606491352,112.24406121765819,652,14.78470447514227,0.47163187527238115,2.759041399955843
YC32,Chi-Chi,7.62,0.25,0.7,1,measured,0.33692062342238155,6.83,66.27863477463437,1.825186113438124,54.20774536971578,913,33.00162294338247,0.33692062342238155,3.526408257105844
YC38,Chi-Chi,7.62,0.25,1.4,0,measured,0.31711485519360105,15.07,51.76061215670612,1.8050402233856075,117.2975015725608,1281,31.679440297620545,0.31711485519360105,3.4867461430893405
YC44,Chi-Chi,7.62,0.25,1.4,0,measured,0.3705048460148666,14.43,72.78124772409565,1.8268540280493426,113.82315658805962,1154,27.576408923056324,0.3705048460148666,3.35258151460907
Capitol Lake-01,"Nisqually, Washington",6.8,0.221,0.6096,1,measured,0.3393312046153063,9.59,61.92703018760241,2.5712163443686524,54.46687881818792,947,37.872121504201935,0.3393312046153063,3.6602773228499497
SODO-01,"Nisqually, Washington",6.8,0.234,3.048,1,measured,0.5489594875063458,8.75,75.09019584556158,2.569992675421917,92.65586758213104,609,7.027448464487385,0.5489594875063458,2.0828667270901535
Capitol Lake-02,"Nisqually, Washington",6.8,0.217,1.524,1,measured,0.6079987112811059,4.4,78.43004680863055,2.477900969209159,50.77306242733147,729,2.1131689860820115,0.6079987112811059,1.1356411739829397
Harbor Island-01,"Nisqually, Washington",6.8,0.18,3.2918400000000005,1,measured,0.8420047572194487,4.53,65.0232792194107,2.0750977005985543,66.00275131370488,432,0.2639633753504243,0.8420047572194487,0.23425232010742741
Harbor Island-02,"Nisqually, Washington",6.8,0.184,2.4384,1,measured,0.68364402910639,8.19,76.15807808070127,1.8025666998151082,88.19691406456342,1357,6.156116471311815,0.68364402910639,1.9679674415497679
SODO-02,"Nisqually, Washington",6.8,0.199,2.1336,1,measured,0.7007864901218092,8.29,88.59294793419743,2.5948962996333935,93.36964968546087,1082,2.837837919313934,0.7007864901218092,1.344909166186723
SODO-03,"Nisqually, Washington",6.8,0.198,2.7432000000000003,1,measured,0.677031217865794,6.0,69.96962909049137,2.5974954835111084,77.20277323378174,622,2.2676039035031184,0.677031217865794,1.1840569650934811
SODO-04,"Nisqually, Washington",6.8,0.197,0.9906,1,measured,0.5510797554448463,4.56,69.55936785951528,2.5423293005277565,45.52900488926387,878,12.70992798965636,0.5510797554448463,2.618120241164832
Boeing Field-01,"Nisqually, Washington",6.8,0.201,2.1336,1,measured,0.5937385112699028,10.75,75.1978311703769,2.589891849194113,107.77544396135009,856,5.108654726351011,0.5937385112699028,1.8097065732213062
Duwamish-01,"Nisqually, Washington",6.8,0.192,2.286,0,measured,0.7161996063109958,12.1,87.72575232242498,2.5754556499472665,127.63589687172856,1291,1.1586965676445666,0.7161996063109958,0.7695045986470384
Discovery Park-01,"Nisqually, Washington",6.8,0.084,3.9624,0,measured,1.5837203820017256,6.31,53.72442425236278,1.7702262980293242,98.92530913337997,254,0.0,1.5837203820017256,0.0
Elliott Ave-01,"Nisqually, Washington",6.8,0.142,1.8288000000000002,0,measured,0.870125999507806,3.09,51.308493227628006,1.8447054634372646,39.34775444148253,1183,0.17783555539938226,0.870125999507806,0.16367847904974636
Smith Cove-01,"Nisqually, Washington",6.8,0.127,2.7432000000000003,0,measured,0.8855039670006492,9.22,63.029102510765064,2.5871268912732304,94.17235473870717,814,0.17340712714558965,0.8855039670006492,0.15991159141787611
Smith Cove-02,"Nisqually, Washington",6.8,0.128,3.6576000000000004,0,measured,1.272955114074379,8.59,91.37219384208849,1.8465562757320795,112.59002594491596,526,0.0,1.272955114074379,0.0
Emerald Downs-01,"Nisqually, Washington",6.8,0.158,1.0,0,measured,0.7110269306353721,4.39,72.27091749506776,2.4421350189128574,44.41160882527703,620,0.6737077406809796,0.7110269306353721,0.515041369418306
Bush School-01,"Nisqually, Washington",6.8,0.119,3.048,0,measured,1.475130629083211,5.88,93.90258123811168,2.5858518996478286,85.99203368547086,618,0.0,1.475130629083211,0.0
Factoria-01,"Nisqually, Washington",6.8,0.102,1.524,0,measured,1.653853267881225,2.27,79.14069982663614,2.5997379930957143,32.09521769890837,463,0.0,1.653853267881225,0.0
UW-01,"Nisqually, Washington",6.8,0.129,0.762,0,measured,0.7426974107879426,5.81,61.38458829187405,2.585935924217029,56.15162248427174,912,1.264375405911355,0.7426974107879426,0.8172989619269644
UW-02,"Nisqually, Washington",6.8,0.129,0.762,0,measured,0.821397975430064,7.66,71.11389729086272,2.1655315202183285,78.34774182805914,1165,0.4342085746097934,0.821397975430064,0.3606131811193573
UW-03,"Nisqually, Washington",6.8,0.127,2.4384,0,measured,0.9815401365835867,8.92,72.57787962023014,2.5604835194222977,104.66913448321978,559,0.0013691859664058603,0.9815401365835867,0.0013682494860136377
UW-04,"Nisqually, Washington",6.8,0.126,2.4384,0,measured,1.0770969676220807,7.41,82.86974670335889,2.5818225790247906,81.81006908024659,690,0.0,1.0770969676220807,0.0
Issaquah-01,"Nisqually, Washington",6.8,0.125,2.4384,0,measured,0.8456598950767934,13.03,62.38913581346722,1.7915531152674937,114.08955192921623,997,0.2287682556940426,0.8456598950767934,0.20601224949525584
Blair Waterway-01,"Nisqually, Washington",6.8,0.104,3.048,0,measured,1.2667141809961413,15.53,80.0265865566893,2.598772838592622,145.26522655423656,775,0.0,1.2667141809961413,0.0
Green River-01,"Nisqually, Washington",6.8,0.166,5.1816,0,measured,1.0244675869207676,11.32,91.4930068174486,2.576413758378819,141.17399866184968,631,0.0,1.0244675869207676,0.0
Site I (CPT-2),Achaia-Ilia,6.4,0.18,0.4,1,measured,0.42302185746024423,3.23,41.22892178022505,1.7997534746719892,26.265730682281045,701,15.20796097423435,0.42302185746024423,2.7855025396945905
Site II (CPT-5),Achaia-Ilia,6.4,0.18,0.4,0,measured,0.5566466866583759,7.970000000000001,73.79781234953867,2.552729559337199,63.74595504672921,564,3.893094461662843,0.5566466866583759,1.5878249175902568
Site2_CPT_01,Maule 2010,8.8,0.35,1.3,0,measured,0.22346869042266276,9.23,74.98063120539356,2.559204760326264,67.55204243574661,218,10.384089060851649,0.22346869042266276,2.432216684092477
Site21_CPT_01,Maule 2010,8.8,0.37,6.5,1,measured,0.2382908781620111,15.23999999999982,89.34514093805457,2.5138836573381953,75.96404309287958,807,5.479913054301651,0.2382908781620111,1.8687070927281257
Site21_CPT_02,Maule 2010,8.8,0.37,3.0,1,measured,0.2836025040614554,10.839999999999813,90.83108903307362,2.514522273338305,107.14916611141744,860,14.205203428298493,0.2836025040614554,2.72163770007952
Site23_CPT_02,Maule 2010,8.8,0.37,3.5,1,measured,0.21787108145174,16.84,53.79827391616509,1.7724961678273579,179.9679143171941,680,23.73275629362329,0.21787108145174,3.2081285307865683
Site23_CPT_03,Maule 2010,8.8,0.37,3.5,1,measured,0.21449631129354957,15.92,58.10175219297742,1.8197149077375039,147.99651852004516,740,42.186156449118215,0.21449631129354957,3.7655199913274613
Site23_CPT_04,Maule 2010,8.8,0.37,3.5,1,measured,0.24633741112965085,17.18,78.23342229740959,2.515755759201875,168.96790696291959,654,12.740957019554491,0.24633741112965085,2.6203809364468116
Site52_CPT_01,Maule 2010,8.8,0.24,2.4,0,measured,0.3000246643256165,19.25,69.09788234292202,2.5480844483392886,135.8304366583071,81,7.9556598448907785,0.3000246643256165,2.1922857173196872
Site76_CPT_01,Maule 2010,8.8,0.38,1.4,1,measured,0.15801951301770495,3.819999999999961,94.9482296207834,2.113897715271521,10.01766596585988,502,41.133239577125366,0.15801951301770495,3.7408369678157167
Site133_CPT_01,Maule 2010,8.8,0.24,2.4,1,measured,0.3000246643256165,19.25,69.09788234292202,2.5480844483392886,135.8304366583071,81,7.9556598448907785,0.3000246643256165,2.1922857173196872
Site177_CPT_01,Maule 2010,8.8,0.23,2.4,1,measured,0.3130692149484694,19.25,69.09788234292202,2.5480844483392886,135.8304366583071,81,7.764384185972986,0.3130692149484694,2.1706962576018287
Site193_CPT_01,Maule 2010,8.8,0.36,4.0,0,measured,0.2618801227482272,20.0,77.86184297162359,2.5309927833503627,217.58754657083253,527,10.669457343122225,0.2618801227482272,2.4569749450563925
Site193_CPT_02,Maule 2010,8.8,0.36,4.0,0,measured,0.2843312151557808,15.82,83.2019247353887,2.525315399413646,187.54289357868618,696,13.774995026887403,0.2843312151557808,2.6929362267024204
Site201_CPT_01,Maule 2010,8.8,0.26,0.8,0,measured,0.30337437444433635,2.68,48.96872440167802,1.6864431503325477,20.93372047614299,423,19.605311128085024,0.30337437444433635,3.0255488643169195
Mataquito Bridge_CPT_01,Maule 2010,8.8,0.44,2.5,1,measured,0.2639720208167953,7.5,91.5060484376274,1.6719292005033726,83.95938413474681,109,19.40158785278277,0.2639720208167953,3.0156127337418366
Mataquito Bridge_CPT_02,Maule 2010,8.8,0.44,2.5,1,measured,0.3286797367904173,2.6,53.60874941907282,1.7918789783102944,44.382446118185804,126,18.407231654150124,0.3286797367904173,2.9656457622872594
Mataquito Bridge_CPT_03,Maule 2010,8.8,0.44,2.5,1,measured,0.2654135337745018,4.55,64.38239852076633,1.7944693954832165,58.43654377209445,140,19.821037272922265,0.2654135337745018,3.0359638829314983
Mataquito Bridge_CPT_04,Maule 2010,8.8,0.44,3.4,0,measured,0.25739207609189396,7.0,73.59230709418568,2.4932864884683994,79.25811824712325,104,14.094311198802298,0.25739207609189396,2.7143179310346848
Mataquito Bridge_CPT_05,Maule 2010,8.8,0.44,5.2,0,measured,0.26814458611977554,7.05,52.93776045513351,1.7712716484637658,97.26187314336845,45,9.741073517022938,0.26814458611977554,2.374075039115616
Mataquito Bridge_CPT_07,Maule 2010,8.8,0.44,2.5,1,measured,0.24782975341704708,7.55,80.11564763221801,2.546950686410543,89.63612802590217,81,17.335302272687244,0.24782975341704708,2.908828287489781
Mataquito Bridge_CPT_08,Maule 2010,8.8,0.44,2.5,1,measured,0.3393475119595826,5.55,107.8593374973188,2.2840934015953804,72.61934090957025,80,14.423869349140988,0.3393475119595826,2.735916267211268
San Felipito Bridges (CPT-1),Baja,7.2,0.265,2.0,1,measured,0.45873230835119044,6.11,75.63669682625665,2.589738380847778,68.12483471812332,1295,10.938003885767873,0.45873230835119044,2.4797269152421224
3Cgd,Baja,7.2,0.094,1.2,0,measured,0.9300384029544942,11.58,56.71138846519824,1.7467602465458227,97.67292851448728,498,0.00889534559867279,0.9300384029544942,0.008856015078976796
HEB001C,Baja,7.2,0.23,1.8,0,measured,0.46352196323359734,6.880000000000001,62.225436629431876,1.7069320460935442,78.98090260202994,333,1.8247530745819809,0.46352196323359734,1.0384209535505526
TOH1,Tohoku,9.0,0.17,1.1,0,measured,0.4959445019505731,13.57,81.02136184017944,2.5905475569667535,132.82829753057527,1417,6.853864496337694,0.4959445019505731,2.0610057031852005
TOH2,Tohoku,9.0,0.18,2.5,0,measured,0.39608363487631215,19.91,66.73089715726199,2.4794733273041034,155.0949753765069,569,6.966301817562133,0.39608363487631215,2.0752203722619145
TOH3,Tohoku,9.0,0.21,1.1,1,measured,0.33962731294727805,19.45,74.51916979613736,2.5575925549066603,149.4266856626987,869,25.60272624842358,0.33962731294727805,3.281013701078096
TOH4,Tohoku,9.0,0.22,1.3,1,measured,0.3139892580982736,18.65,72.9260466447686,2.5588337757327126,134.39465716611377,671,19.683782192316773,0.3139892580982736,3.0293499242289075
TOH5,Tohoku,9.0,0.169,1.2,0,measured,0.43786110055874267,19.25,80.19498265936761,2.361579680746711,147.60465609606203,868,16.684508224127885,0.43786110055874267,2.8726890147575417
TOH6,Tohoku,9.0,0.199,1.2,1,measured,0.37743444202328424,18.4,78.69328442818261,2.492676929627081,148.3338767826726,904,20.23540448035603,0.37743444202328424,3.0556698113990395
TOH7,Tohoku,9.0,0.256,1.6,1,measured,0.31783082639007354,15.879999999999999,81.35481664086015,2.5871741623843625,140.69096300623707,1234,36.503640267239234,0.31783082639007354,3.6244380020580556
184050U015,Emilia,6.1,0.22,4.2,0,measured,0.7429533475609108,12.74,82.49826431794044,2.5599052950175034,136.7962265338919,309,1.03920813654068,0.7429533475609108,0.7125615641368731
184050U016,Emilia,6.1,0.22,4.2,0,measured,0.6841309322373242,14.57,71.26077046506104,1.8423972900275043,153.92911493120343,342,1.9053243911345439,0.6841309322373242,1.0665450505531286
184050U017,Emilia,6.1,0.22,2.65,0,measured,0.5726423391990606,10.98,64.97944867787892,2.4421599031595127,113.3439386713256,34,0.1494685864619684,0.5726423391990606,0.13929973684591515
184050U018,Emilia,6.1,0.22,3.45,0,measured,0.6003389211827024,16.720000000000002,56.78168209269308,1.7424462900394002,164.78366884452123,346,1.8426698604049974,0.6003389211827024,1.044743702255568
184060U001,Emilia,6.1,0.31,3.8,0,measured,0.5446157738097528,7.44,82.03365597842563,2.593655396340013,96.33932869145607,840,8.538768804242101,0.5446157738097528,2.2553644209726236
184090U047,Emilia,6.1,0.27,4.2,0,measured,0.5216071628781046,9.25,63.907432466867974,2.4895714181882744,109.6039715601,590,4.769105180436868,0.5216071628781046,1.7525169871135553
184090U048,Emilia,6.1,0.27,3.7,0,measured,0.5477049980112145,9.04,73.81274860803047,2.561551390744574,103.57058621451607,633,4.858158782874385,0.5477049980112145,1.7678353533428062
184090U049,Emilia,6.1,0.27,3.25,0,measured,0.53356199893956,10.42,76.54682058588236,2.591689731406299,109.37316106813385,463,2.97721729423903,0.53356199893956,1.3805824024596534
184090U050,Emilia,6.1,0.27,3.2,0,measured,0.5236178268967567,8.64,72.5805467158398,2.5868314883295587,97.37316235038725,408,2.604312208917287,0.5236178268967567,1.2821309644394825
184090U051,Emilia,6.1,0.25,2.5,0,measured,0.5628172098926304,14.31,77.54331637772245,1.888548456289356,130.0902251772523,260,3.821430428622274,0.5628172098926304,1.5730706534588823
184090U052,Emilia,6.1,0.25,2.5,0,measured,0.583021221582146,7.43,81.78057836283352,2.5278708182583887,79.00576411403796,293,3.400998711240291,0.583021221582146,1.4818314949955307
184090U053,Emilia,6.1,0.19,4.9,0,measured,1.0540279805225001,7.13,87.7380505564824,2.5507144102041015,111.62513018266257,770,0.0,1.0540279805225001,0.0
