event,Mw,PGA,GWT,y,crit_FS,crit_depth,qc1Ncs_crit,Ic_crit,sev_crit,n_liq_layers,LPI,crit_FS_capped
Kocaeli,7.51,0.4,1.7,1,0.23530064375448104,10.06,64.45041086701966,2.428982282092971,92.06919211613965,395,13.380996074128426,0.23530064375448104
Hyogoken-Nambu,6.9,0.5,2.0,1,0.23230781614957702,10.330000000000002,76.0880387409574,2.3464790390021455,100.31609461349436,654,28.771016029584978,0.23230781614957702
Loma Prieta,6.93,0.24,3.0,1,0.46664686813272294,8.57,60.279511915043415,1.881008210106503,90.54400752059254,528,6.726602691220638,0.46664686813272294
Hyogoken-Nambu,6.9,0.7,2.5,0,0.21452303421064464,6.04,87.75900044368782,2.5809474951684073,74.81922370171992,1045,10.662028312431483,0.21452303421064464
Superstition Hills,6.6,0.16,1.8,0,0.848742025716936,6.82,83.42067667025508,2.4445845710555494,78.34723943401102,323,0.02361884479852043,0.848742025716936
Westmorland,5.9,0.17,1.8,0,0.8714236639605872,6.82,83.42067667025508,2.4445845710555494,78.34723943401102,323,0.01825320470450054,0.8714236639605872
Baja,7.2,0.23,1.8,0,0.5508000306164282,6.82,83.42067667025508,2.4445845710555494,78.34723943401102,323,1.5639222839173974,0.5508000306164282
Edgecumbe,6.6,0.26,4.4,0,1.0360429463388254,5.91,116.82842845886563,1.9016202348967994,93.5145283351429,189,0.0,1.0360429463388254
Hyogoken-Nambu,6.9,0.6,1.4,1,0.15834061318816928,7.9,60.0742423748633,1.8110169379206877,70.57795940658615,1041,23.80054960937308,0.15834061318816928
Kocaeli,7.51,0.4,0.6,1,0.21656993620791073,3.11,61.12389349722128,1.8525735115002886,24.67637653136984,933,28.638829579656445,0.21656993620791073
Loma Prieta,6.93,0.21,2.1,1,0.4839593519504012,19.48,51.52308108278535,1.8040171773305234,165.44452865956188,980,17.67562031393536,0.4839593519504012
Loma Prieta,6.93,0.21,3.0,1,0.6002165064893981,8.16,78.36698171934881,2.5776383955823006,76.61368040730677,275,2.019855009673112,0.6002165064893981
Edgecumbe,6.6,0.28,2.0,1,0.4350094430143383,5.61,69.38184911420265,1.9106885309654233,58.98685047039075,1311,22.25852151951957,0.4350094430143383
Chi-Chi,7.62,0.38,2.5,1,0.32282268676754716,9.09,87.32654446751434,2.369074150901054,95.49515851591933,647,19.391906751316306,0.32282268676754716
Chi-Chi,7.62,0.38,2.5,1,0.3794590208385437,6.93,96.3060702902003,1.7902193157002275,84.3302742782962,690,11.773762870369499,0.3794590208385437
Hyogoken-Nambu,6.9,0.5,3.0,0,0.37348343086390323,4.8500000000000005,95.01368300694074,2.412253952738441,78.18920556246607,193,0.995800148635582,0.37348343086390323
Edgecumbe,6.6,0.31,2.5,1,0.3591655917423665,10.950000000000001,59.330647023468494,1.8243992698341251,113.46766351496494,1229,21.56088808776518,0.3591655917423665
Loma Prieta,6.93,0.47,1.5,1,0.2103511524567284,11.06,63.11133062862382,2.587528513167203,99.18450154214332,250,11.415697226774881,0.2103511524567284
Hyogoken-Nambu,6.9,0.6,1.8,1,0.17770854470502317,14.1,66.26780369275319,2.5267387580375305,126.25139916094288,1772,51.55263534753286,0.17770854470502317
Hyogoken-Nambu,6.9,0.6,1.8,1,0.20702554697469167,8.53,85.5582818495539,1.8465669676631973,82.06362688958379,1665,45.322128731531954,0.20702554697469167
Hyogoken-Nambu,6.9,0.6,2.5,1,0.1692421750593474,10.280000000000001,60.10559366340646,1.77957400588616,91.18205521665364,857,28.00476339610251,0.1692421750593474
Superstition Hills,6.54,0.174,2.7,0,0.7012473738254635,12.879999999999999,66.28759488477338,2.0031313117723197,132.93917531266146,406,0.3032256898815439,0.7012473738254635
Westmorland,5.9,0.32,2.7,1,0.42398030678955856,12.879999999999999,66.28759488477338,2.0031313117723197,132.93917531266146,406,6.158611184627766,0.42398030678955856
Imperial Valley,6.53,0.13,2.7,0,0.9401166480532851,12.879999999999999,66.28759488477338,2.0031313117723197,132.93917531266146,406,0.04438359814195553,0.9401166480532851
Superstition Hills,6.54,0.174,2.7,0,0.7506185985055268,18.0,66.196161341492,2.5573606317117914,178.97199922464142,669,0.2706385865843681,0.7506185985055268
Westmorland,5.9,0.32,2.7,1,0.4690830743727938,18.0,66.196161341492,2.5573606317117914,178.97199922464142,669,7.0024944693905695,0.4690830743727938
Imperial Valley,6.53,0.13,2.7,0,1.006825355065611,18.0,66.196161341492,2.5573606317117914,178.97199922464142,669,0.0,1.006825355065611
