y,pA,pB,instrument,event,inband_A
1.0,0.9969127854545475,0.998356708732021,CPT,"CPT|1989 Loma Prieta, USA",False
1.0,0.9969127854545475,0.9983180132567966,CPT,"CPT|1989 Loma Prieta, USA",False
1.0,0.9994139980884944,0.999718818670092,CPT,"CPT|1989 Loma Prieta, USA",False
1.0,0.9969127854545475,0.9980553008268178,CPT,"CPT|1989 Loma Prieta, USA",False
1.0,0.9965774945977413,0.9968292416342468,CPT,"CPT|1989 Loma Prieta, USA",False
1.0,0.9798068365158169,0.9779773701854442,CPT,"CPT|1989 Loma Prieta, USA",False
1.0,0.9327404621986166,0.9659786018173587,CPT,"CPT|1989 Loma Prieta, USA",False
0.0,0.0005253798628605418,0.001016402149467026,CPT,"CPT|1989 Loma Prieta, USA",False
1.0,0.865756271387864,0.8181701211958243,CPT,"CPT|1989 Loma Prieta, USA",False
0.0,0.8375479433740917,0.8725134052335362,CPT,"CPT|1989 Loma Prieta, USA",False
1.0,0.9941871728414712,0.9950667079498027,CPT,"CPT|1989 Loma Prieta, USA",False
1.0,0.8457442649928262,0.6654472808001098,CPT,"CPT|1989 Loma Prieta, USA",False
1.0,0.724633216647778,0.4140463096608357,CPT,"CPT|1989 Loma Prieta, USA",False
1.0,0.724633216647778,0.2598163160849316,CPT,"CPT|1989 Loma Prieta, USA",False
1.0,0.724633216647778,0.09499790516492893,CPT,"CPT|1989 Loma Prieta, USA",False
1.0,0.724633216647778,0.7958196157005656,CPT,"CPT|1989 Loma Prieta, USA",False
1.0,0.724633216647778,0.5309148073103803,CPT,"CPT|1989 Loma Prieta, USA",False
1.0,0.0764600704906606,0.15592749709968687,CPT,"CPT|1989 Loma Prieta, USA",False
1.0,0.0764600704906606,0.09876813347596375,CPT,"CPT|1989 Loma Prieta, USA",False
1.0,0.27685767502023145,0.49465638992679567,CPT,"CPT|1989 Loma Prieta, USA",False
1.0,0.9999882254602791,0.9999974322188886,CPT,"CPT|1995 Hyogoken-Nanbu, Japan",False
